Dialogue,Character,Fade In (List Characters),Fade Out (List Characters),Background,Music,Sound,Exclaim Text Box,Screen Fade In,Screen Fade Out,Special Actions,Choice 1,Choice 2,Choice 3,Requirement Key,Reaction Effect
...,Koi,Koi_ArmForward,,,,,,,,Koi Move 2,,,,,
...,Zangua,Zangua_Idle,,,,,,,,Zangua Move 4,,,,,
hm...,Koi,,,,,,,,,,,,,,
Can I help you?...,Zangua,,,,,,,,,,,,,,
You seem familiar… ,Koi,,,,,,,,,,,,,,
Huh?,Zangua,,,,,,,,,,,,,,
Your name’s Bob right?,Koi,,,,,,,,,,,,,,
No...,Zangua,,,,,,,,,,,,,,
Charlie?,Koi,,,,,,,,,,,,,,
No...,Zangua,,,,,,,,,,,,,,
...Forest?,Koi,,,,,,,,,,,,,,
Uh...,Zangua,,,,,,,,,,,,,,
Don’t you work at the garden shop or something?,Koi,,,,,,,,,,,,,,
What? No!,Zangua,,,,,,,,,,,,,,
OH WAIT! YOU'RE THAT DETECTIVE! Right?!,Koi,,,,,,,,,,,,,,
I guess you can say that...,Zangua,,,,,,,,,,,,,,
The short… and weren’t you yellow?,Koi,,,,,,,,,,,,,,
THAT’S NOT ME!!!,Zangua,,,,,,,,,,,,,,
I know I've seen you before.,Koi,,,,,,,,,,,,,,
"If you know, you know.",Zangua,,,,,,,,,,,,,,
"Wait, you're that Zangua guy from the newspaper? The one who investigates rumors.",Koi,,,,,,,,,,,,,,
Yep that’s me.,Zangua,,,,,,,,,,,,,,
Wait! That means you've been to tons of places right!,Koi,,,,,,,,,,,,,,
Uh…Yeah heh some interest and some not so much.,Zangua,,,,,,,,,,,,,,
Were the environments all unique and interesting to study right?,Koi,,,,,,,,,,,,,,
Well I guess so when you put it that way. But I’m guessing you wanted to hear some of my investigations huh.,Zangua,,,,,,,,,,,,,,
"I wanna hear about the exotic plants you came across. What can you tell me about their features, like their roots,stems, petals or even the type of fruit they might produce?",Koi,,,,,,,,,,,,,,
...,Zangua,,,,,,,,,,,,,,
Hm? What’s wrong?,Koi,,,,,,,,,,,,,,
I think we’re done here.,Zangua,,,,,,,,,,,,,,
Wait! What about the-,Koi,,,,,,,,,,,,,,
No more questions!,Zangua,,,,,,,,,,,,,,
