Dialogue,Character,Fade In (List Characters),Fade Out (List Characters),Background,Music,Sound,Exclaim Text Box,Screen Fade In,Screen Fade Out,Special Actions,Choice 1,Choice 2,Choice 3,Requirement Key,Reaction Effect
Back so soon?,Alex,Alex_Idle,,,,,,,,Alex Move 5.5,,,,,
Sorry I’m just hanging around till the contest starts.,Koi,Koi_ArmForward,,,,,,,,Koi Move 2,,,,,
"Hey Alex, I’m curious, you’ve ever been to a festive gatherin’ like this? Ya know? With a bunch of people n’ stuff?",Gravel,Gravel_Idle,,,,,,,,Gravel Move 4,,,,,
 Regrettably it isn’t and it won’t be the last. Not looking forward to those anytime soon.,Alex,,,,,,,,,,,,,,
It sounds like there's something else about those festivals you don’t like.,Koi,,,,,,,,,,,,,,
...,Alex,,,,,,,,,,,,,,
Oh uh…I mean-,Koi,,,,,,,,,,,,,,
It’s fine Koi…back home my parents would have these big party events like this.,Alex,,,,,,,,,,,,,,
They couldn’t be that often right?,Gravel,,,,,,,,,,,,,,
They were and I was forced to go to each and every one of them. Not because they were for me but for my older brother and his accomplishments.,Alex,,,,,,,,,,,,,,
I see…but you don’t have to worry about that now you’re here. You’re here because you actually want to be. Right?,Koi,,,,,,,,,,,,,,
Well…yeah.,Alex,,,,,,,,,,,,,,
Plus festivals like these come and go like once a year.,Gravel,,,,,,,,,,,,,,
Hm…,Alex,,,,,,,,,,,,,,
That reminds me since you’re here with someone here.,Koi,,,,,,,,,,,,,,
A paper flower? I haven’t seen these since we were kids. Aren’t we a bit too old for these?,Alex,,,,,,,,,,,,,,
Had two already so I felt like you should have one. Maybe you could write something nice for them if you feel like it.,Koi,,,,,,,,,,,,,,
Thanks…,Alex,,,,,,,,,,,,,,
"What about you, want one?",Koi,,,,,,,,,,,,,,
Nah I’m fine you can give it to someone else.,Gravel,,,,,,,,,,,,,,
Gotcha. Alright guys take care.,Koi,,,,,,,,,,,,,,
