Dialogue,Character,Fade In (List Characters),Fade Out (List Characters),Background,Music,Sound,Exclaim Text Box,Screen Fade In,Screen Fade Out,Special Actions,Choice 1,Choice 2,Choice 3,Requirement Key,Reaction Effect
"Hey um…",Koi,Koi_ArmForward,,,,,,,,Koi Move 2,,,,,
What?,Zangua,Zangua_Idle,,,,,,,,Zangua Move 4,,,,,
Sorry for overwhelming you like that. I tend to get carried away when I nerd out.,Koi,,,,,,,,,,,,,,
"It’s fine I guess.",Zangua,,,,,,,,,,,,,,
...,Koi,,,,,,,,,,,,,,
You’re staring again…,Zangua,,,,,,,,,,,,,,
Uh sorry um I know you said not to ask you anymore questions but do you mind telling me one of your investigations?,Koi,,,,,,,,,,,,,,
Hmmm fine. Let’s see… Well there’s this one where I performed a ritual that led to me meeting this mysterious dark creature.,Zangua,,,,,,,,,,,,,,
Dark creature? Uh huh…,Koi,,,,,,,,,,,,,,
Yeah turns out he’s been watching us this entire time but he’s just invisible to everyone.,Zangua,,,,,,,,,,,,,,
Right…,Koi,,,,,,,,,,,,,,
Although it's not as bad as this other creature I’ve encountered up in the Northern Hemisphere. They call it the Wendig-,Zangua,,,,,,,,,,,,,,
You’ve been to the Northern Hemisphere?! It must have been freezing. ,Koi,,,,,,,,,,,,,,
…It was. Anyways it's called a Wen-,Zangua,,,,,,,,,,,,,,
When’d you go?,Koi,,,,,,,,,,,,,,
…Never mind.,Zangua,,,,,,,,,,,,,,
"Sorry, I’ll stop cutting you off.",Koi,,,,,,,,,,,,,,
Hmm… lets see… Oh! Well there was that one time I had to go through a huge mansion. The rooms were endless. Though I would never find my way out. But it turns out that the place didn’t even exist.,Zangua,,,,,,,,,,,,,,
So you pretty much deal with the supernatural right?,Koi,,,,,,,,,,,,,,
Pretty much.,Zangua,,,,,,,,,,,,,,
How come?,Koi,,,,,,,,,,,,,,
"Life became boring and wanted some excitement you know, try something new for once. And when it comes to the supernatural, the more you know the more you realize you don't know. You know?",Zangua,,,,,,,,,,,,,,
I can respect that.,Koi,,,,,,,,,,,,,,
Anyways finding out the truth is all that matters…and I guess helping people out has its perks.,Zangua,,,,,,,,,,,,,,
It seems you’ve had some thrilling adventures.,Koi,,,,,,,,,,,,,,
Heh I guess…anyways I’m kinda in the middle of something. Can you like…you know? Let me work?,Zangua,,,,,,,,,,,,,,
HUH?! You’re investigating here? In Oceanside?,Koi,,,,,,,,,,,,,,
Just a hunch. Now if you don’t mind… ,Zangua,,,,,,,,,,,,,,
Oh right! I’ll get out of your hair.,Koi,,,,,,,,,,,,,,
